epoch,train_loss,val_loss,train_acc,metrics/accuracy_top1,precision,recall,f1_score
1,49.98622252827931,49.993750005960464,0.499906191369606,0.5,1.0,0.5,0.6666666666666666
2,49.99765533411489,49.989583337306975,0.5,0.5,1.0,0.5,0.6666666666666666
3,49.992966002344666,49.989583337306975,0.5,0.5,1.0,0.5,0.6666666666666666
4,49.992966002344666,49.989583337306975,0.5,0.5,1.0,0.5,0.6666666666666666
5,49.992966002344666,50.01041667461395,0.5,0.5,1.0,0.5,0.6666666666666666
6,50.00468933177022,50.00625000596047,0.5,0.5,1.0,0.5,0.6666666666666666
7,49.992966002344666,49.99791666865349,0.5,0.5,1.0,0.5,0.6666666666666666
8,50.0,50.00208333730698,0.5,0.5,1.0,0.5,0.6666666666666666
9,50.0,50.00208333730698,0.5,0.5,1.0,0.5,0.6666666666666666
10,49.992966002344666,49.993750005960464,0.5,0.5,1.0,0.5,0.6666666666666666
11,49.99531066822978,50.00208333730698,0.5,0.5,1.0,0.5,0.6666666666666666
12,50.0,49.993750005960464,0.5,0.5,1.0,0.5,0.6666666666666666
13,50.00468933177022,49.99791666865349,0.5,0.5,1.0,0.5,0.6666666666666666
14,50.00234466588511,49.993750005960464,0.5,0.5,1.0,0.5,0.6666666666666666
15,49.99531066822978,49.989583337306975,0.5,0.5,1.0,0.5,0.6666666666666666
16,50.00234466588511,50.00625000596047,0.5,0.5,1.0,0.5,0.6666666666666666
17,49.99765533411489,49.99791666865349,0.5,0.5,1.0,0.5,0.6666666666666666
18,50.0,50.01041667461395,0.5,0.5,1.0,0.5,0.6666666666666666
19,49.99765533411489,49.993750005960464,0.5,0.5,1.0,0.5,0.6666666666666666
20,49.99765533411489,50.00208333730698,0.5,0.5,1.0,0.5,0.6666666666666666
21,49.99765533411489,49.993750005960464,0.5,0.5,1.0,0.5,0.6666666666666666
22,50.00234466588511,50.00208333730698,0.5,0.5,1.0,0.5,0.6666666666666666
23,50.0,49.989583337306975,0.5,0.5,1.0,0.5,0.6666666666666666
24,50.0,49.989583337306975,0.5,0.5,1.0,0.5,0.6666666666666666
25,50.0,49.989583337306975,0.5,0.5,1.0,0.5,0.6666666666666666
26,49.99765533411489,49.985416668653485,0.5,0.5,1.0,0.5,0.6666666666666666
27,49.99765533411489,50.01041667461395,0.5,0.5,1.0,0.5,0.6666666666666666
28,49.99531066822978,50.01041667461395,0.5,0.5,1.0,0.5,0.6666666666666666
29,49.99765533411489,50.00625000596047,0.5,0.5,1.0,0.5,0.6666666666666666
30,49.99531066822978,49.993750005960464,0.5,0.5,1.0,0.5,0.6666666666666666
31,50.00234466588511,49.989583337306975,0.5,0.5,1.0,0.5,0.6666666666666666
32,50.0,49.98125000298023,0.5,0.5,1.0,0.5,0.6666666666666666
33,49.99765533411489,49.993750005960464,0.5,0.5,1.0,0.5,0.6666666666666666
34,50.00234466588511,50.02291667461395,0.5,0.5,1.0,0.5,0.6666666666666666
35,50.00468933177022,50.01041667461395,0.5,0.5,1.0,0.5,0.6666666666666666
36,50.00234466588511,49.989583337306975,0.5,0.5,1.0,0.5,0.6666666666666666
37,50.0,50.00208333730698,0.5,0.5,1.0,0.5,0.6666666666666666
38,50.0,49.993750005960464,0.5,0.5,1.0,0.5,0.6666666666666666
39,50.00468933177022,49.989583337306975,0.5,0.5,1.0,0.5,0.6666666666666666
40,50.00468933177022,49.989583337306975,0.5,0.5,1.0,0.5,0.6666666666666666
41,50.0,50.01458333730697,0.5,0.5,1.0,0.5,0.6666666666666666
42,49.992966002344666,49.99791666865349,0.5,0.5,1.0,0.5,0.6666666666666666
43,50.00468933177022,49.98125000298023,0.5,0.5,1.0,0.5,0.6666666666666666
44,50.0,50.00208333730698,0.5,0.5,1.0,0.5,0.6666666666666666
45,49.992966002344666,49.993750005960464,0.5,0.5,1.0,0.5,0.6666666666666666
46,50.00234466588511,49.99791666865349,0.5,0.5,1.0,0.5,0.6666666666666666
47,50.0,50.00208333730698,0.5,0.5,1.0,0.5,0.6666666666666666
48,49.99531066822978,49.99791666865349,0.5,0.5,1.0,0.5,0.6666666666666666
49,50.00468933177022,49.989583337306975,0.5,0.5,1.0,0.5,0.6666666666666666
50,49.99765533411489,49.993750005960464,0.5,0.5,1.0,0.5,0.6666666666666666
